name,code,short_name,total_stores,population,population(million),starbucks_per_million_inhabitants
Alabama,1,AL,49,4874486,4.874486,10.05234193
Alaska,2,AK,85,739700,0.7397,114.9114506
Arizona,4,AZ,55,7044008,7.044008,7.808054732
Arkansas,5,AR,488,3001345,3.001345,162.5937705
California,6,CA,2821,39358497,39.358497,71.67448493
Colorado,8,CO,481,5611885,5.611885,85.71095095
Connecticut,9,CT,123,3573297,3.573297,34.42199179
Delaware,10,DE,91,956823,0.956823,95.10640944
District of Columbia,11,DC,25,694906,0.694906,35.97608885
Florida,12,FL,694,20963613,20.963613,33.10498052
Georgia,13,GA,326,10410330,10.41033,31.31504957
Hawaii,15,HI,99,1424393,1.424393,69.50329017
Idaho,16,ID,89,1717715,1.717715,51.81301904
Illinois,17,IL,67,12778828,12.778828,5.243047328
Indiana,18,IN,575,6658078,6.658078,86.36125921
Iowa,19,IA,221,3141550,3.14155,70.34743996
Kansas,20,KS,94,2908718,2.908718,32.31664259
Kentucky,21,KY,116,4452268,4.452268,26.0541369
Louisiana,22,LA,84,4670560,4.67056,17.98499538
Maine,23,ME,273,1334612,1.334612,204.5538329
Maryland,24,MD,257,6023868,6.023868,42.66361746
Massachusetts,25,MA,30,6859789,6.859789,4.373312357
Michigan,26,MI,283,9973114,9.973114,28.3762925
Minnesota,27,MN,184,5566230,5.56623,33.05648527
Mississippi,28,MS,188,2988510,2.98851,62.90760279
Missouri,29,MO,32,6106670,6.10667,5.240171812
Montana,30,MT,36,1052482,1.052482,34.20486051
Nebraska,31,NE,338,1915947,1.915947,176.4140657
Nevada,32,NV,13,2969905,2.969905,4.37724439
New Hampshire,33,NH,58,1348787,1.348787,43.0016007
New Jersey,34,NJ,29,8885525,8.885525,3.26373512
New Mexico,35,NM,261,2091784,2.091784,124.7738772
New York,36,NY,76,19589572,19.589572,3.879615134
North Carolina,37,NC,253,10268233,10.268233,24.63909808
North Dakota,38,ND,645,754942,0.754942,854.3702695
Ohio,39,OH,378,11659650,11.65965,32.41949801
Oklahoma,40,OK,79,3931316,3.931316,20.09505214
Oregon,41,OR,359,4143625,4.143625,86.6391143
Pennsylvania,42,PA,357,12787641,12.787641,27.91758073
Rhode Island,44,RI,27,1055673,1.055673,25.57610169
South Carolina,45,SC,131,5021268,5.021268,26.08902771
South Dakota,46,SD,25,872868,0.872868,28.64121494
Tennessee,47,TN,180,6708799,6.708799,26.83043567
Texas,48,TX,1042,28295273,28.295273,36.82593909
Utah,49,UT,101,3101042,3.101042,32.56969754
Vermont,50,VT,432,624344,0.624344,691.9262458
Virginia,51,VA,8,8463587,8.463587,0.945225706
Washington,53,WA,757,7423362,7.423362,101.9753583
West Virginia,54,WV,145,1817004,1.817004,79.80169554
Wisconsin,55,WI,25,5790186,5.790186,4.31765059
Wyoming,56,WY,23,578931,0.578931,39.72839596